name,status
Rezolute,ipo
Centessa Pharmaceuticals,ipo
Dyne Therapeutics,ipo
Compass,ipo
Uber,ipo
NextCure,ipo
Everest Medicines,ipo
Prothena,ipo
AST SpaceMobile,ipo
Talos Energy,ipo
Eve Air Mobility,ipo
IonQ,ipo
Benson Hill,ipo
Zentalis Pharmaceuticals,ipo
Nautilus Biotechnology,ipo
Stem,ipo
Aeva,ipo
Arcturus Therapeutics,ipo
IsoPlexis,ipo
Syros Pharmaceuticals,ipo
Relay Therapeutics,ipo
Solid Biosciences,ipo
Verra Mobility,ipo
Offerpad,ipo
Galaxy Digital,ipo
Archer,ipo
EQRx,ipo
Blueprint Medicines,ipo
Berkshire Grey,ipo
Cipher Mining,ipo
Lordstown Motors,ipo
Nikola Motor Company,ipo
Rent the Runway,ipo
DigitalOcean,ipo
Invitae,ipo
Grove Collaborative,ipo
Opendoor,ipo
nCino,ipo
Upland BlueVenn,ipo
Warrior Met Coal,ipo
Peloton,ipo
ACV,ipo
SmileDirectClub,ipo
Coursera,ipo
Snap,ipo
Pure Storage,ipo
Udemy,ipo
Rover,ipo
Qorvo,ipo
Local Bounti,ipo
Pebblebrook Hotel Trust,ipo
Nuvation Bio,ipo
New Residential Investment Corp,ipo
Vaxcyte,ipo
Phathom Pharmaceuticals,ipo
Spero Therapeutics,ipo
Airbnb,ipo
Air Lease Corporation,ipo
Tango Therapeutics,ipo
Sunnova,ipo
Physicians Realty Trust,ipo
Arcutis Biotherapeutics,ipo
Heliogen,ipo
Fisker,ipo
Annexon Biosciences,ipo
Kura Oncology,ipo
Acutus Medical,ipo
AEye,ipo
Evofem Biosciences,ipo
Celularity,ipo
Harmony Biosciences,ipo
Allena Pharmaceuticals,ipo
Seres Therapeutics,ipo
Karuna Therapeutics,ipo
C4 Therapeutics,ipo
Pear Therapeutics,ipo
Sunlight Financial,ipo
Clover Health,ipo
Evolus,ipo
The Honest Company,ipo
Science 37,ipo
Alignment Healthcare,ipo
Forge,ipo
GoodRx,ipo
Dave,ipo
Markforged,ipo
SES,ipo
Blue Apron,ipo
Evolent Health,ipo
Sonder,ipo
Blend,ipo
Sumo Logic,ipo
Virgin Orbit,ipo
Flywire,ipo
Vacasa,ipo
Liberty Tripadvisor Holdings,ipo
HashiCorp,ipo
Affirm,ipo
Robinhood,ipo
Samsara,ipo
TPG RE Finance Trust,ipo
DraftKings,ipo
Summit Materials,ipo
WeWork,ipo
Lyft,ipo
Square,ipo
Lumentum,ipo
Irish Residential Properties,ipo
Innovative Industrial Properties,ipo
Krystal Biotech,ipo
Cullinan Oncology,ipo
Y-mAbs Therapeutics,ipo
Adagio Therapeutics,ipo
Evolv Technology,ipo
Solid Power,ipo
Verano Holdings,ipo
Independence Realty Trust Inc,ipo
Katapult,ipo
MoneyLion,ipo
Aligos Therapeutics,ipo
Volta Charging,ipo
Xos Trucks,ipo
Arcus Biosciences,ipo
Atreca,ipo
Sana Biotechnology,ipo
Butterfly Network,ipo
Kymera Therapeutics,ipo
Cogent Biosciences,ipo
Editas Medicine,ipo
Rubius Therapeutics,ipo
Rhythm Pharmaceuticals,ipo
Blue Owl,ipo
IronNet Cybersecurity,ipo
Lyell Immunopharma,ipo
TuSimple,ipo
Denali Therapeutics,ipo
MGM Growth Properties,ipo
Alkami Technology,ipo
Venator Materials,ipo
Talkspace,ipo
Marqeta,ipo
SentinelOne,ipo
Porch Group,ipo
SAGE Therapeutics,ipo
Sprinklr,ipo
Wheels Up,ipo
Oscar Health,ipo
Okta,ipo
Enjoy,ipo
WalkMe,ipo
Wish,ipo
Snowflake,ipo
AdaptHealth,ipo
Toast,ipo
Curaleaf,ipo
Marathon Patent Group,ipo
DoorDash,ipo
AppHarvest,ipo
Tabula Rasa Healthcare (formerly CareKinesis),ipo
Passage Bio,ipo
RumbleON,ipo
Hyliion,ipo
New Fortress Energy,ipo
Pliant Therapeutics,ipo
Gritstone Oncology,ipo
Allogene Therapeutics,ipo
Embark Trucks,ipo
IGM Biosciences,ipo
Romeo Power,ipo
Vir Biotechnology,ipo
Rockley Photonics,ipo
Century Therapeutics,ipo
PLAYSTUDIOS,ipo
STORE Capital,ipo
CareMax,ipo
Updater,ipo
Nurix Therapeutics,ipo
Puma Biotechnology,ipo
Bioventus,ipo
Domo,ipo
EP Energy Corporation,ipo
Bakkt,ipo
Vroom,ipo
AppLovin,ipo
Bird,ipo
Sotera Health,ipo
Warby Parker,ipo
Bright Health Group,ipo
The RealReal,ipo
GitLab,ipo
Twilio,ipo
ZipRecruiter,ipo
News Corp,ipo
Pinterest,ipo
Global Net Lease,ipo
Grayscale Bitcoin Trust,ipo
Terreno,ipo
Vertiv,ipo
NextEra Energy Partners,ipo
Kontoor Brands,ipo
Sezzle,ipo
Maravai Life Sciences,ipo
Magenta Therapeutics,ipo
Recursion Pharmaceuticals,ipo
VICI Properties,ipo
Rapt Therapeutics,ipo
Eargo,ipo
System1,ipo
Revolution Medicines,ipo
Voyager,ipo
Fulcrum Therapeutics,ipo
Kala Pharmaceuticals,ipo
Scholar Rock,ipo
Luminar,ipo
National Storage Affiliates Trust,ipo
REGENXBIO,ipo
Hyzon Motors,ipo
Doma,ipo
Global Blood Therapeutics,ipo
Adaptive Biotechnologies,ipo
Intellia Therapeutics,ipo
Marathon Digital,ipo
Brii Biosciences,ipo
Root Insurance,ipo
Cresco Labs,ipo
